...1,City of Toronto Climate Change
106,Q12. [Rebates or grants for completing home energy efficiency improvements] The City of Toronto provides supports to encourage you to take action in addressing climate change. How motivating are the following supports to encourage you to take action to address climate change?
107,"Q12. [Incentives, infrastructure, and support to increase your use of sustainable transportation methods such as cycling, public transit or electric vehicles] The City of Toronto provides supports to encourage you to take action in addressing climate change. How motivating are the following supports to encourage you to take action to address climate change?"
108,"Q12. [Support for community-based or individual-based climate action projects, including grants, project guidance and promotional support] The City of Toronto provides supports to encourage you to take action in addressing climate change. How motivating are the following supports to encourage you to take action to address climate change?"
109,Q12. [Education and information for residents of Toronto about climate change and its impacts] The City of Toronto provides supports to encourage you to take action in addressing climate change. How motivating are the following supports to encourage you to take action to address climate change?
110,Q12. [Education and information for residents of Toronto about what actions you can take to reduce greenhouse gas emissions] The City of Toronto provides supports to encourage you to take action in addressing climate change. How motivating are the following supports to encourage you to take action to address climate change?
111,"Q12. [Low-interest loans to support renovations to my home that make homes highly energy efficient, more comfortable and resilient] The City of Toronto provides supports to encourage you to take action in addressing climate change. How motivating are the following supports to encourage you to take action to address climate change?"
112,Q12. [A free consultation service provided by the City of Toronto that helps residents identify appropriate home energy improvements that can lower energy bills] The City of Toronto provides supports to encourage you to take action in addressing climate change. How motivating are the following supports to encourage you to take action to address climate change?
113,"Q12B. What, if anything, else could the City of Toronto provide that would motivate you to take action and address climate change?"
114,Q13. The City of Toronto delivers information to residents through a number of channels. What would be your preferred ways to receive information about climate change and climate action from the City of Toronto?
115,"Q14. How much more money would you personally be willing to pay per year (i.e. through increased taxes, goods or services costing more, etc.) to help fight climate change?"
116,QD1B. How many floors is the building that you live in?
117,"QD2. Including yourself, how many people live in your household on a regular basis?"
118,QD3. What was your total household income before taxes last year? Your best estimate is fine. Please select one only.
119,QuotaTotal. This varaible is used for completes quota
120,MRK_GROUP. Group Code
121,DATA_TYPE. Data Type
